team,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20,year_21,year_22,year_23,year_24,year_25,year_26,year_27,year_28,year_29,year_30,year_31,year_32,year_33,year_34
Atlanta Hawks,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,1,1,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1
Boston Celtics,3,3,3,3,3,3,3,3,3,2,3,2,1,2,2,2,2,3,3,3,3,2,1,3,3,3,3,3,3,1,3,3,3,3
New Jersey/Brooklyn Nets,3,3,1,1,1,1,1,3,3,3,2,2,2,3,1,2,2,3,3,3,3,3,3,2,2,1,2,2,3,3,3,1,1,2
Charlotte Bobcats/Hornets,1,1,1,2,3,2,3,2,3,3,2,3,3,3,1,1,2,2,2,3,2,1,1,3,2,3,2,2,,,,,,
Chicago Bulls,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,1,3,3,3,2,3,3,3,3,3,3,3,2,3,2
Cleveland Cavaliers,3,1,2,3,3,3,2,3,3,3,3,3,2,3,2,2,2,2,1,2,2,3,3,3,3,3,1,1,1,2,3,3,3,3
Dallas Mavericks,3,3,3,3,2,3,2,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,1
Denver Nuggets,3,3,3,3,3,3,1,1,2,3,3,2,1,1,1,2,2,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
Detroit Pistons,3,3,3,3,3,3,3,3,2,1,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2
Golden State Warriors,1,1,3,1,3,2,3,3,2,3,1,2,2,1,2,1,1,1,2,2,2,2,3,2,2,1,2,2,3,3,3,3,3,3
Houston Rockets,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,1,2,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3
Indiana Pacers,1,1,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3
Kansas City/Sacramento Kings,2,3,1,1,2,2,1,2,1,2,2,3,2,2,3,3,3,3,3,3,3,3,2,2,1,1,1,1,2,2,2,2,2,2
Los Angeles Clippers,1,2,1,1,1,2,2,3,3,2,1,2,3,1,1,1,2,2,1,1,2,3,2,2,1,2,2,3,3,3,3,3,3,2
Los Angeles Lakers,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,1,1,2
Vancounver/Memphis Grizzlies,1,1,1,1,1,1,1,2,3,3,3,1,1,2,2,3,3,3,3,3,3,3,1,,,,,,,,,,,
Miami Heat,1,1,1,3,2,3,2,3,3,3,3,3,3,2,1,3,3,3,3,1,3,3,3,3,3,3,2,3,2,3,,,,
Milwaukee Bucks,3,3,3,3,3,3,3,2,2,1,2,1,2,2,3,3,3,2,3,3,2,3,1,2,2,3,2,2,3,1,3,2,3,3
Minnesota Timberwolves,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,2,2,2,1,1,2,3,,,,,
New Orleans/Oklahoma City Hornets/Pelicans,3,3,1,2,2,3,3,2,3,1,1,2,3,2,2,3,,,,,,,,,,,,,,,,,,
New York Knicks,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,1,2,1,2,2,3,3,3,2,1,2,2,2
Seattle SuperSonics/Oklahoma City Thunder,1,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3,2,1,1,1,3,3,3,3,3,2,3,3,3
Orlando Magic,1,2,1,2,3,3,3,3,2,3,2,3,3,3,1,2,2,3,3,3,3,3,3,1,1,1,2,1,1,,,,,
Philadelphia 76ers,3,3,3,2,3,3,3,2,1,2,1,1,1,2,3,3,3,3,3,2,3,2,2,3,3,2,3,3,2,1,1,1,1,3
Phoenix Suns,3,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,3,2,2,1,2,2,1,1,1
Portland Trail Blazers,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,3,3,3,2,2,3,3,3,3,3
San Antonio Spurs,3,3,1,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Toronto Raptors,1,2,1,2,3,3,3,1,2,2,1,3,3,2,2,1,2,2,3,3,3,3,3,,,,,,,,,,,
Utah Jazz,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,3,3,3,3,2,3,2,1,2,2,3,3
Washington Bullets/Wizards,3,3,3,3,2,2,2,1,1,1,1,2,3,2,2,2,1,2,2,1,3,3,3,3,1,1,1,1,2,3,3,2,3,3
